initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.about_refund_balance_description,"<![CDATA[<ul><li>Refund Balance comes from your refunded transactions. This includes refunds for transactions exceeding your limits (card/e-wallet), or failed transactions using Bank Transfer, Virtual Account, or Convenience Store.</li><li>Read more about Refund Balance Terms & Conditions <a href=https://www.traveloka.com/en-en/balance-tnc style=\""text-decoration:none;\"">here</a>.</li></ul>]]>",,,,
andpoe.about_withdrawal_process,About withdrawal process,,,,FALSE
andpoe.accom_aa_pah_flx_popup_info_desc,"<![CDATA[<b>1. Secure the room WITHOUT immediate payment<br/><br/>2. Pay by cash or card at the hotel <br/><br/>3. No need to request a refund if your plan changes. (Only applicable for free-cancellation booking).</b><br/><br/>Simply choose one of these methods: credit card or TPayLater to confirm the room. Rest assured, once it is confirmed, the room will be kept for your stay.]]>",accommodation,accommodation_aa,pah_flx_popup_info_desc,FALSE
andpoe.accom_aa_pah_flx_popup_info_ean_desc,"<![CDATA[<b>1. Secure the unit WITHOUT immediate payment<br/><br/>2. Pay by cash or card upon check-in<br/><br/>3. Relax when there''s a change of plan. You don''t need to worry about requesting a refund if you have to cancel\n</b><br/><br/>Note: You will be required to provide credit card details to confirm the booking. However, for security reasons, some accommodations may charge your credit card prior to your arrival.]]>",accommodation,accommodation_aa,pah_flx_popup_info_ean_desc,FALSE
andpoe.accom_aa_pah_flx_popup_info_ean_title,Why Choose This?,accommodation,accommodation_aa,pah_flx_popup_info_ean_title,FALSE
andpoe.accom_aa_pah_flx_popup_info_title,Why Choose This?,accommodation,accommodation_aa,pah_flx_popup_info_title,FALSE
andpoe.accom_aqstpp_section_subtitle,"As a Preferred Partner Plus, this hotel has an outstanding performance that is regularly verified by Traveloka.",accommodation,accommodation_aqstpp,section_subtitle,FALSE
andpoe.accom_aqstpp_tray_usp_list,This hotel also offers the following top features and facilities to ensure you enjoy your stay:,accommodation,accommodation_aqstpp,tray_usp_list,FALSE
andpoe.accom_area_filter_reco_title_tray,Area Recommendation,accommodation,accommodation_area,filter_reco_title_tray,FALSE
andpoe.accom_autocomplete_average_price_text,around {0},accommodation,accommodation_autocomplete,average_price_text,FALSE
andpoe.accom_autocomplete_clear_text,Clear,accommodation,accommodation_autocomplete,clear_text,FALSE
andpoe.accom_autocomplete_no_result_title,We''ve looked everywhere but couldn''t find ‘{0}’,accommodation,accommodation_autocomplete,no_result_title,FALSE
andpoe.accom_autocomplete_num_of_properties_text,{0} properties,accommodation,accommodation_autocomplete,num_of_properties_text,FALSE
